month,symptom,symptomReportedFrequently
1,Worthless,16
2,Worthless,22
3,Worthless,25
4,Worthless,32
5,Worthless,27
6,Worthless,27
7,Worthless,34
8,Worthless,19
9,Worthless,27
10,Worthless,26
11,Worthless,23
12,Worthless,24
1,Effort,16
2,Effort,22
3,Effort,25
4,Effort,32
5,Effort,27
6,Effort,27
7,Effort,34
8,Effort,19
9,Effort,27
10,Effort,26
11,Effort,23
12,Effort,24
1,Hopeless,16
2,Hopeless,22
3,Hopeless,25
4,Hopeless,32
5,Hopeless,27
6,Hopeless,27
7,Hopeless,34
8,Hopeless,19
9,Hopeless,27
10,Hopeless,26
11,Hopeless,23
12,Hopeless,24
1,Restless,16
2,Restless,22
3,Restless,25
4,Restless,32
5,Restless,27
6,Restless,27
7,Restless,34
8,Restless,19
9,Restless,27
10,Restless,26
11,Restless,23
12,Restless,24
1,Nervous,16
2,Nervous,22
3,Nervous,25
4,Nervous,32
5,Nervous,27
6,Nervous,27
7,Nervous,34
8,Nervous,19
9,Nervous,27
10,Nervous,26
11,Nervous,23
12,Nervous,24
1,Sad,16
2,Sad,22
3,Sad,25
4,Sad,32
5,Sad,27
6,Sad,27
7,Sad,34
8,Sad,19
9,Sad,27
10,Sad,26
11,Sad,23
12,Sad,24
