month,symptom,symptomReportedFrequently
1,Worthless,6.196702672
2,Worthless,6.851742469
3,Worthless,7.027027027
4,Worthless,6.098319851
5,Worthless,6.144200627
6,Worthless,6.033376123
7,Worthless,7.096424702
8,Worthless,6.530160487
9,Worthless,5.682520074
10,Worthless,7.253599114
11,Worthless,6.61722761
12,Worthless,6.457564576
1,Effort,17.22569642
2,Effort,18.7241583
3,Effort,18.21621622
4,Effort,17.85936528
5,Effort,16.42633229
6,Effort,17.58664955
7,Effort,17.6056338
8,Effort,16.82346431
9,Effort,15.31809759
10,Effort,19.04761905
11,Effort,18.42555619
12,Effort,17.58917589
1,Hopeless,7.106310404
2,Hopeless,7.265209687
3,Hopeless,7.081081081
4,Hopeless,6.347230865
5,Hopeless,6.5830721
6,Hopeless,7.060333761
7,Hopeless,7.258938245
8,Hopeless,7.692307692
9,Hopeless,6.238418777
10,Hopeless,8.250276855
11,Hopeless,7.016543069
12,Hopeless,6.396063961
1,Restless,23.08129619
2,Restless,23.44949793
3,Restless,21.78378378
4,Restless,20.47293093
5,Restless,21.94357367
6,Restless,21.88703466
7,Restless,21.77681473
8,Restless,22.24681793
9,Restless,23.285979
10,Restless,21.70542636
11,Restless,22.24757558
12,Restless,20.35670357
1,Nervous,22.00113701
2,Nervous,20.37802717
3,Nervous,21.45945946
4,Nervous,20.22401991
5,Nervous,19.93730408
6,Nervous,20.15404365
7,Nervous,20.47670639
8,Nervous,21.08467072
9,Nervous,22.79184682
10,Nervous,21.31782946
11,Nervous,21.10667427
12,Nervous,20.78720787
1,Sad,9.096077317
2,Sad,9.214412286
3,Sad,10.21621622
4,Sad,9.085252022
5,Sad,8.777429467
6,Sad,8.600770218
7,Sad,10.02166847
8,Sad,10.57000553
9,Sad,8.770846201
10,Sad,9.302325581
11,Sad,9.241300627
12,Sad,8.671586716
